location,latitud,longitud
Usaquén,4.6869486,-74.0571685
Usaquén,4.6867864,-74.0563848
Usaquén,4.6864427,-74.0549382
Usaquén,4.6863871,-74.0546701
Usaquén,4.6862325,-74.053883
Usaquén,4.6859779,-74.0523363
Usaquén,4.685874,-74.0517891
Usaquén,4.6856687,-74.0505899
Usaquén,4.6855989,-74.0502549
Usaquén,4.6855295,-74.0499166
Usaquén,4.685389,-74.0493536
Usaquén,4.6852392,-74.0489009
Usaquén,4.6849419,-74.0480512
Usaquén,4.6846512,-74.0473964
Usaquén,4.6842718,-74.0466493
Usaquén,4.6841851,-74.0464786
Usaquén,4.6839772,-74.0460544
Usaquén,4.6832031,-74.0444746
Usaquén,4.682746,-74.0435417
Usaquén,4.6816073,-74.0414003
Usaquén,4.6810209,-74.0403327
Usaquén,4.6806429,-74.0396288
Usaquén,4.6805627,-74.0394794
Usaquén,4.6804585,-74.039139
Usaquén,4.6776353,-74.0332445
Usaquén,4.6776501,-74.0331447
Usaquén,4.6776491,-74.0330697
Usaquén,4.6776404,-74.0329499
Usaquén,4.6776252,-74.032781
Usaquén,4.6775973,-74.0325777
Usaquén,4.6775,-74.0319354
Usaquén,4.6774723,-74.0317684
Usaquén,4.6774378,-74.031594
Usaquén,4.6773811,-74.0313761
Usaquén,4.6773029,-74.0311389
Usaquén,4.6772438,-74.0310179
Usaquén,4.6771969,-74.0309173
Usaquén,4.6771407,-74.0308203
Usaquén,4.6770722,-74.0307435
Usaquén,4.6770191,-74.0307003
Usaquén,4.6769659,-74.0306571
Usaquén,4.6769071,-74.0306266
Usaquén,4.6768322,-74.0306011
Usaquén,4.6767745,-74.0305971
Usaquén,4.6767167,-74.0305931
Usaquén,4.6765007,-74.0306268
Usaquén,4.6762381,-74.0306759
Usaquén,4.6761473,-74.0306961
Usaquén,4.676027,-74.0307023
Usaquén,4.675933,-74.0306959
Usaquén,4.6758507,-74.0306656
Usaquén,4.6757757,-74.0306219
Usaquén,4.6757247,-74.0305685
Usaquén,4.6756861,-74.0305151
Usaquén,4.6756335,-74.0304169
Usaquén,4.6756013,-74.0302891
Usaquén,4.675581,-74.0301734
Usaquén,4.6755603,-74.0299689
Usaquén,4.6755387,-74.0297488
Usaquén,4.6754326,-74.0287808
Usaquén,4.6753803,-74.0283126
Usaquén,4.675356,-74.0280877
Usaquén,4.6753369,-74.0279116
Usaquén,4.6753342,-74.027841
Usaquén,4.6753315,-74.0277703
Usaquén,4.6753387,-74.0276407
Usaquén,4.6753687,-74.0275044
Usaquén,4.6754237,-74.0274119
Usaquén,4.6754895,-74.0273334
Usaquén,4.6757861,-74.0270552
Usaquén,4.6758443,-74.0269854
Usaquén,4.6758732,-74.0269133
Usaquén,4.6758881,-74.0267881
Usaquén,4.6758776,-74.0266802
Usaquén,4.6758574,-74.0265703
Usaquén,4.6756168,-74.0258202
Usaquén,4.6753269,-74.0249808
Usaquén,4.6752733,-74.0248094
Usaquén,4.6752372,-74.0246715
Usaquén,4.6752289,-74.0245737
Usaquén,4.6752507,-74.0244482
Usaquén,4.6752905,-74.0243291
Usaquén,4.6753766,-74.0241716
Usaquén,4.675447,-74.0240461
Usaquén,4.6755259,-74.0239089
Usaquén,4.6755799,-74.0238048
Usaquén,4.6756064,-74.0236906
Usaquén,4.6756109,-74.0235925
Usaquén,4.6755882,-74.0234928
Usaquén,4.6755454,-74.023406
Usaquén,4.6754911,-74.0233419
Usaquén,4.6754319,-74.0232834
Usaquén,4.6753524,-74.0232304
Usaquén,4.675223,-74.023168
Usaquén,4.674994,-74.0230499
Usaquén,4.6749044,-74.0229984
Usaquén,4.6748117,-74.02293
Usaquén,4.6747535,-74.0228738
Usaquén,4.6747069,-74.0228021
Usaquén,4.6746825,-74.0227352
Usaquén,4.6746805,-74.0226539
Usaquén,4.6747048,-74.0225624
Usaquén,4.6747616,-74.0224608
Usaquén,4.6748163,-74.0223795
Usaquén,4.6748695,-74.0222817
Usaquén,4.6749113,-74.0221926
Usaquén,4.6749441,-74.0220995
Usaquén,4.6749651,-74.0219618
Usaquén,4.6749646,-74.0218285
Usaquén,4.6749621,-74.0217209
Usaquén,4.6749439,-74.021605
Usaquén,4.6749276,-74.0215525
Usaquén,4.6749155,-74.0215136
Usaquén,4.6748588,-74.0214017
Usaquén,4.6748021,-74.0213225
Usaquén,4.6747262,-74.0212455
Usaquén,4.6746076,-74.0211618
Usaquén,4.6745081,-74.0211078
Usaquén,4.6742129,-74.0209526
Usaquén,4.6741381,-74.0209158
Usaquén,4.6740071,-74.0208323
Usaquén,4.6739524,-74.0207767
Usaquén,4.6738962,-74.0207003
Usaquén,4.6738568,-74.020601
Usaquén,4.6738411,-74.0204945
Usaquén,4.6738336,-74.0204062
Usaquén,4.6738902,-74.0201592
Usaquén,4.6739237,-74.0199835
Usaquén,4.67394,-74.0198819
Usaquén,4.6739401,-74.0197791
Usaquén,4.6739203,-74.0196605
Usaquén,4.6738548,-74.019501
Usaquén,4.67375,-74.0192825
Usaquén,4.6736867,-74.0191506
Usaquén,4.6736317,-74.019043
Usaquén,4.6735496,-74.0188789
Usaquén,4.6734891,-74.018782
Usaquén,4.6734055,-74.0186712
Usaquén,4.6733091,-74.0185786
Usaquén,4.6732008,-74.0184878
Usaquén,4.6730691,-74.0184272
Usaquén,4.6729427,-74.0183773
Usaquén,4.672837,-74.018336
Usaquén,4.6727554,-74.0182962
Usaquén,4.6726732,-74.0182306
Usaquén,4.6726201,-74.0181565
Usaquén,4.6725814,-74.0180784
Usaquén,4.6725501,-74.0178845
Usaquén,4.6725267,-74.0176912
Usaquén,4.6724964,-74.017488
Usaquén,4.6724671,-74.0173227
Usaquén,4.6724139,-74.017165
Usaquén,4.6723683,-74.0170685
Usaquén,4.6723304,-74.017016
Usaquén,4.6722739,-74.0169377
Usaquén,4.6721805,-74.0168579
Usaquén,4.6720872,-74.0168086
Usaquén,4.6719356,-74.0167492
Usaquén,4.6716449,-74.0166353
Usaquén,4.671201,-74.0164674
Usaquén,4.6708535,-74.0163386
Usaquén,4.6706892,-74.0162645
Usaquén,4.6705229,-74.0159613
Usaquén,4.6703994,-74.0156427
Usaquén,4.6700659,-74.0144515
Usaquén,4.6699614,-74.0142322
Usaquén,4.6690079,-74.0129542
Usaquén,4.6688757,-74.0127957
Usaquén,4.6684126,-74.0126024
Usaquén,4.668012,-74.0126381
Usaquén,4.6679441,-74.0126442
Usaquén,4.6677254,-74.0126637
Usaquén,4.6674109,-74.0129399
Usaquén,4.6669814,-74.0136686
Usaquén,4.6664668,-74.0140181
Usaquén,4.6662615,-74.0138923
Usaquén,4.6663259,-74.013196
Usaquén,4.6664484,-74.0125692
Usaquén,4.6664131,-74.0123569
Usaquén,4.6663614,-74.0120467
Usaquén,4.6661407,-74.0116674
Usaquén,4.6660707,-74.011573
Usaquén,4.6655565,-74.0112293
Usaquén,4.6644458,-74.0108385
Usaquén,4.6638578,-74.0106069
Usaquén,4.6634746,-74.0104518
Usaquén,4.6633365,-74.0103885
Usaquén,4.663172,-74.0103219
Usaquén,4.6628134,-74.0101987
Usaquén,4.6626903,-74.0101367
Usaquén,4.6625389,-74.0100334
Usaquén,4.6623828,-74.0099097
Usaquén,4.6622122,-74.0097474
Usaquén,4.6619934,-74.0095289
Usaquén,4.6618821,-74.0093901
Usaquén,4.6617945,-74.0092599
Usaquén,4.6617195,-74.0091203
Usaquén,4.6616721,-74.0089834
Usaquén,4.6616373,-74.0088465
Usaquén,4.6616641,-74.0088013
Usaquén,4.6617523,-74.0085492
Usaquén,4.6618485,-74.0084419
Usaquén,4.6619234,-74.0085411
Usaquén,4.6620624,-74.0090454
Usaquén,4.6625062,-74.0098018
Usaquén,4.6634311,-74.0102148
Usaquén,4.6634899,-74.009968
Usaquén,4.6637947,-74.0101183
Usaquén,4.6639711,-74.0096355
Usaquén,4.6640516,-74.0092645
Usaquén,4.6641518,-74.0090846
Usaquén,4.6644898,-74.0070284
Usaquén,4.6654511,-74.0068978
Usaquén,4.6661621,-74.0067851
Usaquén,4.6669305,-74.0067923
Usaquén,4.6681138,-74.0056221
Usaquén,4.6690494,-74.0046987
Usaquén,4.6702418,-74.0042472
Usaquén,4.6714609,-74.0037408
Usaquén,4.6729419,-74.0030319
Usaquén,4.6744658,-74.0026267
Usaquén,4.6754717,-74.0025115
Usaquén,4.6764656,-74.0024395
Usaquén,4.6776849,-74.0030555
Usaquén,4.6786155,-74.0023184
Usaquén,4.6792891,-74.0018785
Usaquén,4.6800163,-74.0020824
Usaquén,4.6804438,-74.0038333
Usaquén,4.6811818,-74.0044394
Usaquén,4.682262,-74.0054291
Usaquén,4.6828927,-74.0053654
Usaquén,4.6832349,-74.004786
Usaquén,4.683802,-74.0055758
Usaquén,4.6841759,-74.0062773
Usaquén,4.6841973,-74.0071249
Usaquén,4.6850634,-74.0074897
Usaquén,4.6855507,-74.008234
Usaquén,4.6860375,-74.009803
Usaquén,4.6862462,-74.0102032
Usaquén,4.6874226,-74.0104162
Usaquén,4.6891374,-74.0112984
Usaquén,4.6908716,-74.0116484
Usaquén,4.6928233,-74.0119922
Usaquén,4.6943128,-74.0122748
Usaquén,4.6955288,-74.012609
Usaquén,4.6959139,-74.013195
Usaquén,4.6971921,-74.0142195
Usaquén,4.6987181,-74.0142954
Usaquén,4.699224,-74.0143206
Usaquén,4.7006463,-74.0137129
Usaquén,4.701967,-74.013004
Usaquén,4.7030845,-74.0127001
Usaquén,4.7045336,-74.0120843
Usaquén,4.7052194,-74.0119314
Usaquén,4.7061965,-74.0117429
Usaquén,4.7070627,-74.0115034
Usaquén,4.7084903,-74.0114389
Usaquén,4.7094751,-74.0116739
Usaquén,4.7101059,-74.0126717
Usaquén,4.7105221,-74.0116881
Usaquén,4.7106726,-74.0101934
Usaquén,4.7118589,-74.010383
Usaquén,4.7129765,-74.010352
Usaquén,4.7127895,-74.0236261
Usaquén,4.7134081,-74.0233958
Usaquén,4.7136986,-74.0232047
Usaquén,4.7137307,-74.0230036
Usaquén,4.7139071,-74.0231243
Usaquén,4.7145112,-74.0231404
Usaquén,4.7147812,-74.0231296
Usaquén,4.7148588,-74.0229821
Usaquén,4.7147572,-74.0224725
Usaquén,4.7146609,-74.02192
Usaquén,4.7146235,-74.0217108
Usaquén,4.7143295,-74.0214479
Usaquén,4.7145594,-74.0212065
Usaquén,4.7148962,-74.0209597
Usaquén,4.714415,-74.0200102
Usaquén,4.7145807,-74.0197367
Usaquén,4.7146823,-74.0196562
Usaquén,4.7149978,-74.0201712
Usaquén,4.7154629,-74.0211904
Usaquén,4.7155057,-74.0207237
Usaquén,4.7153078,-74.0201926
Usaquén,4.7150726,-74.0198708
Usaquén,4.715233,-74.0193075
Usaquén,4.7153613,-74.0191144
Usaquén,4.715249,-74.0187389
Usaquén,4.7147839,-74.0184921
Usaquén,4.7151795,-74.0175855
Usaquén,4.7164467,-74.0214397
Usaquén,4.7165161,-74.0213621
Usaquén,4.7171202,-74.0216303
Usaquén,4.7173768,-74.0216088
Usaquén,4.7176872,-74.0210184
Usaquén,4.717735,-74.0206164
Usaquén,4.7181039,-74.0212494
Usaquén,4.7183071,-74.0216464
Usaquén,4.7182701,-74.0222307
Usaquén,4.7188852,-74.0225155
Usaquén,4.7193229,-74.0225852
Usaquén,4.7199644,-74.0223277
Usaquén,4.7201783,-74.0220487
Usaquén,4.7207771,-74.0224028
Usaquén,4.7220708,-74.0218878
Usaquén,4.7218259,-74.0203281
Usaquén,4.7223595,-74.0202892
Usaquén,4.722274,-74.0195704
Usaquén,4.7229369,-74.0192056
Usaquén,4.7231615,-74.0185297
Usaquén,4.7235678,-74.0185511
Usaquén,4.7237709,-74.018122
Usaquén,4.7236533,-74.0189159
Usaquén,4.7241879,-74.0190768
Usaquén,4.7244832,-74.019552
Usaquén,4.725054,-74.0195704
Usaquén,4.7258239,-74.0202034
Usaquén,4.7261446,-74.0200317
Usaquén,4.7264761,-74.0207398
Usaquén,4.7266379,-74.0214401
Usaquén,4.7278982,-74.0214801
Usaquén,4.7286894,-74.0214586
Usaquén,4.7287893,-74.0211067
Usaquén,4.7288462,-74.0209062
Usaquén,4.7295876,-74.0204609
Usaquén,4.7302685,-74.0207035
Usaquén,4.7309669,-74.0202999
Usaquén,4.7313732,-74.0201283
Usaquén,4.731429,-74.0204625
Usaquén,4.7328113,-74.0212655
Usaquén,4.7331053,-74.0211046
Usaquén,4.7314469,-74.0187546
Usaquén,4.7314058,-74.018603
Usaquén,4.7312673,-74.0183294
Usaquén,4.7308416,-74.0177912
Usaquén,4.7304739,-74.0174011
Usaquén,4.7302605,-74.017473
Usaquén,4.7300836,-74.0174534
Usaquén,4.7298069,-74.0173328
Usaquén,4.7297159,-74.0172422
Usaquén,4.7297186,-74.0170589
Usaquén,4.729778,-74.0169
Usaquén,4.7299557,-74.0166758
Usaquén,4.7295312,-74.016122
Usaquén,4.7293505,-74.0161194
Usaquén,4.7292409,-74.0161181
Usaquén,4.7291313,-74.0160842
Usaquén,4.7289295,-74.0160108
Usaquén,4.7287658,-74.015911
Usaquén,4.7286718,-74.0157879
Usaquén,4.7286365,-74.0156607
Usaquén,4.7286545,-74.0155589
Usaquén,4.7288135,-74.0154612
Usaquén,4.7290553,-74.0153717
Usaquén,4.7292451,-74.0152557
Usaquén,4.7291627,-74.0149222
Usaquén,4.7291095,-74.0146355
Usaquén,4.7290046,-74.0144352
Usaquén,4.7289322,-74.014239
Usaquén,4.7295234,-74.0135944
Usaquén,4.7299725,-74.0129292
Usaquén,4.7300313,-74.01272
Usaquén,4.7299109,-74.0124882
Usaquén,4.7309911,-74.0112779
Usaquén,4.7316328,-74.0134188
Usaquén,4.7334582,-74.0125108
Usaquén,4.7351155,-74.0125216
Usaquén,4.7362916,-74.0151286
Usaquén,4.737177,-74.0178282
Usaquén,4.7378989,-74.0177175
Usaquén,4.7385085,-74.0175149
Usaquén,4.7394779,-74.0176392
Usaquén,4.7404402,-74.018755
Usaquén,4.741488,-74.0191198
Usaquén,4.7416377,-74.0184975
Usaquén,4.7408037,-74.0182829
Usaquén,4.7417874,-74.0175534
Usaquén,4.7403424,-74.0171311
Usaquén,4.7414921,-74.0163584
Usaquén,4.741488,-74.0155149
Usaquén,4.7419388,-74.0150332
Usaquén,4.7424107,-74.0146081
Usaquén,4.7426009,-74.0150783
