id,Latitude,Longitude,Location
1,4.690908,-74.101481,Engativá
2,4.579712,-74.083425,San Cristobal
3,4.652541,-74.06037,Chapinero
4,4.717322,-74.13332,Engativá
5,4.717767,-74.041595,Usaquén
6,4.635871,-74.076439,Teusaquillo
7,4.646099,-74.060951,Chapinero
8,4.739827,-74.040676,Usaquén
9,4.659293,-74.051682,Chapinero
10,4.632425,-74.071915,Teusaquillo
11,4.682576,-74.045517,Chapinero
12,4.643626,-74.126101,Kennedy
13,4.695734,-74.039101,Usaquén
14,4.678291,-74.040123,Chapinero
15,4.663733,-74.046623,Chapinero
16,4.670145,-74.045851,Chapinero
17,4.678821,-74.045433,Chapinero
18,4.65666,-74.050629,Chapinero
19,4.768574,-74.029795,Usaquén
20,4.660671,-74.065582,Barrios Unidos
21,4.72942,-74.029297,Usaquén
22,4.669498,-74.12594,Fontibón
23,4.64462,-74.090149,Teusaquillo
24,4.686234,-74.0545,Chapinero
25,4.696832,-74.049681,Usaquén
26,4.650136,-74.072,Teusaquillo
27,4.594359,-74.17589,Ciudad Bolívar
28,4.713548,-74.030518,Usaquén
29,4.697822,-74.03167,Usaquén
30,4.676262,-74.040118,Chapinero
31,4.651036,-74.05278,Chapinero
32,4.822275,-74.052658,Suba
33,4.629926,-74.084369,Teusaquillo
34,4.721029,-74.0299,Usaquén
35,4.655993,-74.070435,Barrios Unidos
36,4.68091,-74.048256,Chapinero
37,4.694293,-74.046921,Usaquén
38,4.713341,-74.071297,Suba
39,4.655702,-74.047969,Chapinero
40,4.643737,-74.055443,Chapinero
41,4.690048,-74.053718,Usaquén
42,4.673669,-74.050106,Chapinero
43,4.706046,-74.03085,Usaquén
44,4.695715,-74.034076,Usaquén
45,4.679909,-74.047353,Chapinero
46,4.676055,-74.042933,Chapinero
47,4.653043,-74.051225,Chapinero
48,4.704842,-74.041291,Usaquén
49,4.677999,-74.037576,Chapinero
50,4.624255,-74.133927,Kennedy
51,4.683967,-74.031232,Usaquén
52,4.653497,-74.052458,Chapinero
53,4.818864,-74.044307,Suba
54,4.684945,-74.054327,Chapinero
55,4.665258,-74.04464,Chapinero
56,4.566762,-74.096183,San Cristobal
57,4.657174,-74.129339,Fontibón
61,4.691712,-74.040306,Usaquén
62,4.651888,-74.053304,Chapinero
63,4.614701,-74.066494,Santa Fe
64,4.748896,-74.061989,Suba
65,4.69962,-74.028036,Usaquén
66,4.728456,-74.042506,Usaquén
67,4.718082,-74.032024,Usaquén
68,4.665335,-74.057764,Chapinero
69,4.703642,-74.038605,Usaquén
70,4.743546,-74.067151,Suba
71,4.628168,-74.066084,Chapinero
72,4.689463,-74.108341,Engativá
73,4.628042,-74.074646,Teusaquillo
74,4.71076,-74.113348,Engativá
75,4.691284,-74.086784,Engativá
77,4.688518,-74.046577,Usaquén
78,4.7156,-74.024528,Usaquén
80,4.703354,-74.050972,Usaquén
81,4.689526,-74.041122,Usaquén
82,4.706636,-74.057755,Suba
83,4.731949,-74.042999,Usaquén
84,4.672566,-74.047478,Chapinero
85,4.680582,-74.038963,Usaquén
86,4.685343,-74.045456,Usaquén
87,4.652916,-74.153694,Kennedy
88,4.611738,-74.067667,Santa Fe
89,4.677969,-74.04467,Chapinero
90,4.724518,-74.041359,Usaquén
92,4.703317,-74.050072,Usaquén
93,4.700978,-74.057068,Suba
95,4.712685,-74.033607,Usaquén
96,4.698205,-74.057594,Suba
97,4.691474,-74.040131,Usaquén
99,4.659259,-74.047386,Chapinero
100,4.66362,-74.051834,Chapinero
103,4.670105,-74.049164,Chapinero
104,4.68803,-74.029167,Usaquén
105,4.686297,-74.044533,Usaquén
106,4.651848,-74.054855,Chapinero
107,4.655987,-74.049721,Chapinero
110,4.664148,-74.116675,Fontibón
111,4.681424,-74.166714,Fontibón
112,4.725313,-74.134,Engativá
114,4.638629,-74.060585,Chapinero
116,4.696582,-74.030907,Usaquén
117,4.626166,-74.086699,Teusaquillo
118,4.697831,-74.04503,Usaquén
119,4.699151,-74.027813,Usaquén
120,4.68967,-74.044122,Usaquén
121,4.640758,-74.144102,Kennedy
122,4.699742,-74.046798,Usaquén
123,4.694976,-74.078429,Suba
124,4.660374,-74.054523,Chapinero
